21___,8___,1/11/2020 H 21:48_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 21:52_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 21:52_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 21:52_,10/285__,raqueta1/pelota
21___,8___,1/11/2020 H 21:54_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 21:54_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 21:54_,10/295__,raqueta1/pelota
21___,8___,1/11/2020 H 22:5__,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:5__,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:12_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:12_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:12_,730/412_,raqueta2/pelota
21___,8___,1/11/2020 H 22:12_,730/401_,raqueta2/pelota
21___,8___,1/11/2020 H 22:13_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:13_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:14_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:14_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:14_,10/275__,raqueta1/pelota
21___,8___,1/11/2020 H 22:14_,730/38__,raqueta2/pelota
21___,8___,1/11/2020 H 22:19_,730/415_,raqueta2/pelota
21___,8___,1/11/2020 H 22:19_,730/415_,raqueta2/pelota
21___,8___,2/11/2020 H 18:5__,730/425_,raqueta2/pelota
21___,8___,2/11/2020 H 18:5__,730/425_,raqueta2/pelota
21___,8___,2/11/2020 H 18:5__,10/275__,raqueta1/pelota
21___,3___,4/11/2020 H 14:43_,730/415_,raqueta2/pelota
21___,3___,4/11/2020 H 14:43_,730/415_,raqueta2/pelota
21___,3___,4/11/2020 H 14:43_,10/305__,raqueta1/pelota
21___,3___,4/11/2020 H 14:43_,730/38__,raqueta2/pelota
21___,3___,4/11/2020 H 14:43_,10/245__,raqueta1/pelota
21___,3___,4/11/2020 H 14:43_,10/335__,raqueta1/pelota
21___,3___,4/11/2020 H 14:43_,730/227_,raqueta2/pelota
21___,3___,4/11/2020 H 14:43_,10/-5___,raqueta1/pelota
21___,3___,4/11/2020 H 14:43_,730/318_,raqueta2/pelota
21___,8___,4/11/2020 H 19:51_,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 19:51_,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 19:53_,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 19:53_,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 19:59_,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 19:59_,730/415_,raqueta2/pelota
21___,3___,4/11/2020 H 20:1__,730/415_,raqueta2/pelota
21___,3___,4/11/2020 H 20:1__,730/415_,raqueta2/pelota
21___,3___,4/11/2020 H 20:1__,730/415_,raqueta2/pelota
21___,3___,4/11/2020 H 20:1__,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 20:2__,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 20:2__,730/415_,raqueta2/pelota
21___,3___,4/11/2020 H 20:4__,730/415_,raqueta2/pelota
21___,3___,4/11/2020 H 20:4__,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 20:17_,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 20:17_,730/415_,raqueta2/pelota
21___,8___,4/11/2020 H 20:17_,730/395_,raqueta2/pelota_verde
21___,8___,4/11/2020 H 20:17_,10/295__,raqueta1/pelota
21___,8___,4/11/2020 H 20:17_,730/38__,raqueta2/pelota
22___,8___,4/11/2020 H 20:19_,730/415_,raqueta2/pelota
22___,8___,4/11/2020 H 20:19_,730/415_,raqueta2/pelota
22___,8___,4/11/2020 H 20:19_,730/395_,raqueta2/pelota_verde
22___,8___,4/11/2020 H 20:19_,10/295__,raqueta1/pelota
22___,8___,4/11/2020 H 20:19_,10/145__,raqueta1/pelota_roja
22___,8___,4/11/2020 H 20:19_,730/38__,raqueta2/pelota
22___,8___,4/11/2020 H 20:21_,730/415_,raqueta2/pelota
22___,8___,4/11/2020 H 20:21_,730/415_,raqueta2/pelota
22___,8___,4/11/2020 H 20:21_,730/395_,raqueta2/pelota_verde
22___,8___,4/11/2020 H 20:21_,10/325__,raqueta1/pelota
22___,8___,4/11/2020 H 20:21_,10/325__,raqueta1/pelota_verde
22___,8___,4/11/2020 H 20:21_,10/165__,raqueta1/pelota_roja
22___,8___,4/11/2020 H 20:21_,730/38__,raqueta2/pelota
22___,8___,4/11/2020 H 20:38_,730/415_,raqueta2/pelota
22___,8___,4/11/2020 H 20:38_,730/415_,raqueta2/pelota
22___,8___,4/11/2020 H 20:38_,730/395_,raqueta2/pelota_verde
22___,8___,4/11/2020 H 20:38_,10/325__,raqueta1/pelota
22___,8___,4/11/2020 H 20:39_,730/415_,raqueta2/pelota
22___,8___,4/11/2020 H 20:39_,730/415_,raqueta2/pelota
22___,8___,4/11/2020 H 20:39_,730/395_,raqueta2/pelota_verde
22___,8___,4/11/2020 H 20:39_,10/305__,raqueta1/pelota
